run_id,thickness_cm,w_regolith,w_hdpe,regolith_volume_fraction_target,voxel_seed,environment,spe_severity
0,9.1775810898429047,0.12829681055332179,0.87170318944667824,0.048383798819429523,21260907,GCR,
1,8.1740254484648425,0.53117221054067876,0.46882778945932124,0.28129572833278621,21260908,GCR,
2,11.547758800286486,0.2339081840390079,0.76609181596099207,0.095412661502784893,21260909,GCR,
3,13.099658716749001,0.29629020620319324,0.70370979379680676,0.12698088898071358,21260910,GCR,
4,14.888751049190279,0.066885665936970817,0.93311433406302924,0.024163843344270158,21260911,GCR,
5,7.3894461156980125,0.50584674527620677,0.49415325472379323,0.26124529212551106,21260912,GCR,
6,5.2708103054056803,0.56275687234122862,0.43724312765877138,0.30777630809880407,21260913,GCR,
7,4.1669456503136821,0.52419691446665939,0.47580308553334061,0.27567233767530958,21260914,GCR,
8,12.72107136878571,0.56510344934789913,0.43489655065210087,0.30981302181168086,21260915,GCR,
9,10.02574475545511,0.44611416020554218,0.55388583979445782,0.2176731622322102,21260916,GCR,
10,6.8097877625718226,0.33688069001620558,0.66311930998379442,0.14929765449942395,21260917,GCR,
11,5.0024543200894787,0.22644942711953842,0.77355057288046158,0.091840752845926729,21260918,GCR,
12,10.300453034930181,0.077254583819524519,0.92274541618047545,0.028109342023102592,21260919,GCR,
13,4.2013148880653954,0.63634117737246265,0.36365882262753735,0.3767477489138672,21260920,GCR,
14,14.244844354203961,0.053423634944428561,0.94657636505557141,0.019124175469535612,21260921,GCR,
15,12.417138111084901,0.34080543407485792,0.65919456592514214,0.15153641582708849,21260922,GCR,
16,6.9932333650765228,0.62470013540956881,0.37529986459043119,0.36508804312698334,21260923,GCR,
17,4.853658192167507,0.57754210686768204,0.42245789313231796,0.32077714936104551,21260924,GCR,
18,8.1535008488360248,0.53633734923762633,0.46366265076237367,0.28551078428046439,21260925,GCR,
19,4.1439997247228071,0.3396426069070812,0.66035739309291874,0.15087157143972707,21260926,GCR,
20,13.195062842209275,0.20707076627150051,0.79292923372849944,0.082749124456355419,21260927,GCR,
21,7.0902230211815098,0.69827936869065665,0.30172063130934335,0.44428817395949632,21260928,GCR,
22,3.5173923032172518,0.065672212451769379,0.93432778754823065,0.023705767334123148,21260929,GCR,
23,5.6979568871332393,0.40642122305263673,0.59357877694736327,0.19128624971298616,21260930,GCR,
24,12.446982869702216,0.12100425797837414,0.87899574202162589,0.045397043289940313,21260931,GCR,
25,11.343126666356921,0.57544722840249307,0.42455277159750693,0.31891055015916209,21260932,GCR,
26,7.9591704042524762,0.34751566176433929,0.65248433823566065,0.15539856886067208,21260933,GCR,
